Food type,methane gas level,humidity,temperature,spoiled or not spoiled,outcome
Rice,404,70,31.23,spoiled,1
Rice,412,69,30.97,spoiled,1
Rice,419,67,31.27,spoiled,1
Rice,417,68,31.23,spoiled,1
Rice,420,72,31.32,spoiled,1
Rice,413,72,31.52,spoiled,1
Rice,412,67,31.24,spoiled,1
Rice,418,70,31.2,spoiled,1
Rice,418,72,31.22,spoiled,1
Rice,418,65,31.27,spoiled,1
Rice,421,72,31.41,spoiled,1
Rice,420,68,31.51,spoiled,1
Rice,420,72,31.54,spoiled,1
Rice,421,68,31.66,spoiled,1
Rice,421,65,31.58,spoiled,1
Rice,422,65,31.83,spoiled,1
Rice,423,70,31.61,spoiled,1
Rice,425,71,32.09,spoiled,1
Rice,419,67,31.82,spoiled,1
Rice,422,72,31.63,spoiled,1
Rice,420,65,31.64,spoiled,1
Rice,419,70,31.91,spoiled,1
Rice,420,66,31.84,spoiled,1
Rice,424,68,32.02,spoiled,1
Rice,424,70,32.02,spoiled,1
Rice,424,67,31.97,spoiled,1
Rice,423,69,31.9,spoiled,1
Rice,424,73,31.83,spoiled,1
Rice,426,68,32.03,spoiled,1
Rice,420,73,32.26,spoiled,1
Rice,425,67,32.2,spoiled,1
Rice,425,72,32.02,spoiled,1
Rice,428,74,32.27,spoiled,1
Rice,422,63,32.34,spoiled,1
Rice,430,68,32.19,spoiled,1
Rice,427,72,32.38,spoiled,1
Rice,427,69,32.41,spoiled,1
Rice,426,71,32.26,spoiled,1
Rice,429,68,32.52,spoiled,1
Rice,428,70,32.59,spoiled,1
Rice,432,70,32.71,spoiled,1
Rice,424,74,32.74,spoiled,1
Rice,429,71,32.41,spoiled,1
Rice,430,71,32.52,spoiled,1
Rice,429,69,32.77,spoiled,1
Rice,428,69,32.81,spoiled,1
Rice,429,69,32.85,spoiled,1
Rice,431,71,33.39,spoiled,1
Rice,425,69,32.93,spoiled,1
Rice,434,71,33.05,spoiled,1
Rice,430,76,33.06,spoiled,1
Rice,432,73,33.05,spoiled,1
Rice,433,69,32.95,spoiled,1
Rice,431,74,33.15,spoiled,1
Rice,432,69,32.95,spoiled,1
Rice,427,64,33.07,spoiled,1
Rice,436,67,33.07,spoiled,1
Rice,437,64,33.19,spoiled,1
Rice,429,69,33.57,spoiled,1
Rice,433,70,32.98,spoiled,1
Rice,431,75,33.4,spoiled,1
Rice,435,71,33.09,spoiled,1
Rice,437,69,33.3,spoiled,1
Rice,439,72,33.57,spoiled,1
Rice,439,63,33.45,spoiled,1
Rice,440,71,33.32,spoiled,1
Rice,436,72,33.41,spoiled,1
Rice,434,66,33.66,spoiled,1
Rice,437,73,33.48,spoiled,1
Rice,440,71,33.66,spoiled,1
Rice,434,69,33.67,spoiled,1
Rice,443,72,33.61,spoiled,1
Rice,441,77,34.06,spoiled,1
Rice,439,71,33.87,spoiled,1
Rice,437,71,33.51,spoiled,1
Rice,438,69,33.88,spoiled,1
Rice,440,67,33.79,spoiled,1
Rice,440,72,34.06,spoiled,1
Rice,444,67,33.85,spoiled,1
Rice,440,70,33.99,spoiled,1
Rice,443,69,34.12,spoiled,1
Rice,442,71,34.21,spoiled,1
Rice,443,71,33.93,spoiled,1
Rice,442,73,34.1,spoiled,1
Rice,445,68,34.12,spoiled,1
Rice,445,69,34.13,spoiled,1
Rice,445,67,34.53,spoiled,1
Rice,446,69,34.36,spoiled,1
Rice,441,71,34.15,spoiled,1
Rice,445,72,34.51,spoiled,1
Rice,449,67,34.73,spoiled,1
Rice,447,73,34.61,spoiled,1
Rice,442,74,34.26,spoiled,1
Rice,446,71,34.45,spoiled,1
Rice,447,76,34.75,spoiled,1
Rice,444,68,34.49,spoiled,1
Rice,443,66,34.7,spoiled,1
Rice,446,65,34.79,spoiled,1
Rice,445,74,34.57,spoiled,1
Rice,448,72,34.74,spoiled,1
Rice,443,70,34.3,spoiled,1
Rice,450,71,34.67,spoiled,1
Rice,447,67,34.82,spoiled,1
Rice,452,77,34.71,spoiled,1
Rice,449,70,35.18,spoiled,1
Rice,450,70,34.76,spoiled,1
Rice,450,72,34.95,spoiled,1
Rice,449,71,35.07,spoiled,1
Rice,458,71,35.3,spoiled,1
Rice,450,68,34.91,spoiled,1
Rice,455,71,35.34,spoiled,1
Rice,449,76,35.2,spoiled,1
Rice,453,74,35.09,spoiled,1
Rice,454,75,35.34,spoiled,1
Rice,453,68,35.34,spoiled,1
Rice,452,67,35.26,spoiled,1
Rice,453,70,35.4,spoiled,1
Rice,453,70,35.36,spoiled,1
Rice,461,73,35.48,spoiled,1
Rice,455,65,35.6,spoiled,1
Rice,457,75,35.77,spoiled,1
Rice,461,70,35.39,spoiled,1
Rice,453,69,35.93,spoiled,1
Rice,456,67,35.35,spoiled,1
Rice,455,65,35.66,spoiled,1
Rice,456,72,35.81,spoiled,1
Rice,456,70,35.8,spoiled,1
Rice,455,66,35.7,spoiled,1
Rice,458,66,35.8,spoiled,1
Rice,455,69,35.8,spoiled,1
Rice,461,75,35.82,spoiled,1
Rice,461,69,36.07,spoiled,1
Rice,458,65,36.04,spoiled,1
Rice,458,69,35.92,spoiled,1
Rice,460,69,36.19,spoiled,1
Rice,458,62,36.14,spoiled,1
Rice,466,70,36.25,spoiled,1
Rice,462,69,36.26,spoiled,1
Rice,462,72,36.08,spoiled,1
Rice,463,76,36.16,spoiled,1
Rice,460,73,36.39,spoiled,1
Rice,465,69,36.41,spoiled,1
Rice,463,67,36.35,spoiled,1
Rice,466,78,36.41,spoiled,1
Rice,462,70,36.62,spoiled,1
Rice,467,70,36.38,spoiled,1
Rice,465,70,36.59,spoiled,1
Rice,471,71,36.51,spoiled,1
Rice,463,70,36.55,spoiled,1
Rice,465,68,36.78,spoiled,1
Rice,462,68,36.78,spoiled,1
Rice,464,70,36.81,spoiled,1
Rice,468,68,36.93,spoiled,1
Rice,469,68,36.77,spoiled,1
Rice,475,70,36.91,spoiled,1
Rice,466,69,36.8,spoiled,1
Rice,464,75,36.93,spoiled,1
Rice,470,62,36.9,spoiled,1
Rice,464,73,36.97,spoiled,1
Rice,470,74,37.08,spoiled,1
Rice,467,64,36.91,spoiled,1
Rice,469,69,37.38,spoiled,1
Rice,472,69,36.95,spoiled,1
Rice,469,66,36.96,spoiled,1
Rice,473,68,37.35,spoiled,1
Rice,473,67,37.33,spoiled,1
Rice,465,75,37.35,spoiled,1
Rice,468,73,37.38,spoiled,1
Rice,466,74,37.33,spoiled,1
Rice,477,72,37.23,spoiled,1
Rice,471,67,37.41,spoiled,1
Rice,477,68,37.34,spoiled,1
Rice,468,71,37.62,spoiled,1
Rice,471,66,37.49,spoiled,1
Rice,476,72,37.43,spoiled,1
Rice,474,69,37.54,spoiled,1
Rice,475,69,37.69,spoiled,1
Rice,470,72,37.58,spoiled,1
Rice,479,71,37.58,spoiled,1
Rice,477,69,37.78,spoiled,1
Rice,476,73,37.81,spoiled,1
Rice,473,67,37.74,spoiled,1
Rice,477,72,37.78,spoiled,1
Rice,475,72,37.92,spoiled,1
Rice,472,69,37.71,spoiled,1
Rice,477,71,37.75,spoiled,1
Rice,477,66,37.89,spoiled,1
Roti/Chapati,331,58,20.16,not spoiled,0
Roti/Chapati,330,63,19.71,not spoiled,0
Roti/Chapati,330,62,20.12,not spoiled,0
Roti/Chapati,331,64,19.95,not spoiled,0
Roti/Chapati,335,56,20.21,not spoiled,0
Roti/Chapati,329,58,20.26,not spoiled,0
Roti/Chapati,333,61,20.23,not spoiled,0
Roti/Chapati,335,57,20.4,not spoiled,0
Roti/Chapati,334,62,20.13,not spoiled,0
Roti/Chapati,333,64,20.53,not spoiled,0
Roti/Chapati,336,58,20.3,not spoiled,0
Roti/Chapati,325,60,20.21,not spoiled,0
Roti/Chapati,336,64,20.44,not spoiled,0
Roti/Chapati,332,65,20.21,not spoiled,0
Roti/Chapati,329,62,20.6,not spoiled,0
Roti/Chapati,336,62,20.56,not spoiled,0
Roti/Chapati,339,57,20.83,not spoiled,0
Roti/Chapati,335,61,20.78,not spoiled,0
Roti/Chapati,338,62,20.52,not spoiled,0
Roti/Chapati,341,59,20.64,not spoiled,0
Roti/Chapati,340,58,20.88,not spoiled,0
Roti/Chapati,341,56,20.97,not spoiled,0
Roti/Chapati,339,55,21.07,not spoiled,0
Roti/Chapati,337,54,21.11,not spoiled,0
Roti/Chapati,333,62,20.95,not spoiled,0
Roti/Chapati,337,60,21.06,not spoiled,0
Roti/Chapati,336,59,21.24,not spoiled,0
Roti/Chapati,345,59,21.04,not spoiled,0
Roti/Chapati,338,61,21.18,not spoiled,0
Roti/Chapati,339,60,21.12,not spoiled,0
Roti/Chapati,341,56,21.12,not spoiled,0
Roti/Chapati,340,63,21.25,not spoiled,0
Roti/Chapati,345,61,21.18,not spoiled,0
Roti/Chapati,338,61,21.31,not spoiled,0
Roti/Chapati,341,63,21.21,not spoiled,0
Roti/Chapati,339,58,21.38,not spoiled,0
Roti/Chapati,337,64,21.52,not spoiled,0
Roti/Chapati,340,60,21.4,not spoiled,0
Roti/Chapati,342,63,21.53,not spoiled,0
Roti/Chapati,341,62,21.59,not spoiled,0
Roti/Chapati,340,57,21.68,not spoiled,0
Roti/Chapati,339,62,21.63,not spoiled,0
Roti/Chapati,343,61,21.85,not spoiled,0
Roti/Chapati,339,60,21.41,not spoiled,0
Roti/Chapati,346,60,22.21,not spoiled,0
Roti/Chapati,344,60,21.68,not spoiled,0
Roti/Chapati,340,62,21.91,not spoiled,0
Roti/Chapati,344,62,21.75,not spoiled,0
Roti/Chapati,343,60,22.03,not spoiled,0
Roti/Chapati,346,56,22.01,not spoiled,0
Roti/Chapati,350,61,21.91,not spoiled,0
Roti/Chapati,340,62,22.21,not spoiled,0
Roti/Chapati,347,67,22.07,not spoiled,0
Roti/Chapati,346,63,22.21,not spoiled,0
Roti/Chapati,349,54,22.03,not spoiled,0
Roti/Chapati,348,60,22.21,not spoiled,0
Roti/Chapati,345,65,22.55,not spoiled,0
Roti/Chapati,347,62,22.44,not spoiled,0
Roti/Chapati,346,61,22.38,not spoiled,0
Roti/Chapati,352,63,22.31,not spoiled,0
Roti/Chapati,349,58,22.42,not spoiled,0
Roti/Chapati,355,61,22.48,not spoiled,0
Roti/Chapati,349,59,22.56,not spoiled,0
Roti/Chapati,348,60,22.37,not spoiled,0
Roti/Chapati,345,62,22.67,not spoiled,0
Roti/Chapati,345,57,22.45,not spoiled,0
Roti/Chapati,346,64,22.9,not spoiled,0
Roti/Chapati,352,59,22.58,not spoiled,0
Roti/Chapati,353,61,22.78,not spoiled,0
Roti/Chapati,347,56,22.93,not spoiled,0
Roti/Chapati,355,62,22.78,not spoiled,0
Roti/Chapati,351,64,22.91,not spoiled,0
Roti/Chapati,353,58,23.11,not spoiled,0
Roti/Chapati,358,57,23.02,not spoiled,0
Roti/Chapati,356,61,23.03,not spoiled,0
Roti/Chapati,353,64,22.76,not spoiled,0
Roti/Chapati,351,56,22.92,not spoiled,0
Roti/Chapati,348,57,23.25,not spoiled,0
Roti/Chapati,352,59,23.22,not spoiled,0
Roti/Chapati,354,58,23.29,not spoiled,0
Roti/Chapati,352,58,23.31,not spoiled,0
Roti/Chapati,355,54,23.45,not spoiled,0
Roti/Chapati,356,62,23.26,not spoiled,0
Roti/Chapati,355,61,23.36,not spoiled,0
Roti/Chapati,354,55,23.23,not spoiled,0
Roti/Chapati,357,64,23.23,not spoiled,0
Roti/Chapati,358,65,23.21,not spoiled,0
Roti/Chapati,354,58,23.37,not spoiled,0
Roti/Chapati,362,63,23.77,not spoiled,0
Roti/Chapati,357,58,23.35,not spoiled,0
Roti/Chapati,358,61,23.58,not spoiled,0
Roti/Chapati,361,57,23.47,not spoiled,0
Roti/Chapati,359,67,23.61,not spoiled,0
Roti/Chapati,362,59,23.77,not spoiled,0
Roti/Chapati,360,60,23.68,not spoiled,0
Roti/Chapati,358,58,23.99,not spoiled,0
Roti/Chapati,361,66,24.09,not spoiled,0
Roti/Chapati,357,66,23.56,not spoiled,0
Roti/Chapati,361,65,23.84,not spoiled,0
Roti/Chapati,361,63,23.99,not spoiled,0
Roti/Chapati,361,58,24.19,not spoiled,0
Roti/Chapati,361,62,24.0,not spoiled,0
Roti/Chapati,356,60,24.1,not spoiled,0
Roti/Chapati,361,64,23.97,not spoiled,0
Roti/Chapati,363,63,23.95,not spoiled,0
Roti/Chapati,363,58,24.44,not spoiled,0
Roti/Chapati,360,63,23.99,not spoiled,0
Roti/Chapati,367,62,24.65,not spoiled,0
Roti/Chapati,361,52,24.45,not spoiled,0
Roti/Chapati,367,62,24.49,not spoiled,0
Roti/Chapati,366,59,24.51,not spoiled,0
Roti/Chapati,363,57,24.43,not spoiled,0
Roti/Chapati,370,57,24.56,not spoiled,0
Roti/Chapati,362,60,24.52,not spoiled,0
Roti/Chapati,368,61,24.67,not spoiled,0
Roti/Chapati,369,56,24.62,not spoiled,0
Roti/Chapati,364,61,24.52,not spoiled,0
Roti/Chapati,371,62,24.58,not spoiled,0
Roti/Chapati,366,66,24.6,not spoiled,0
Roti/Chapati,368,57,24.93,not spoiled,0
Roti/Chapati,368,59,24.73,not spoiled,0
Roti/Chapati,367,61,24.58,not spoiled,0
Roti/Chapati,371,63,24.97,not spoiled,0
Roti/Chapati,371,59,25.18,not spoiled,0
Roti/Chapati,363,64,25.1,not spoiled,0
Roti/Chapati,373,54,24.94,not spoiled,0
Roti/Chapati,364,56,24.83,not spoiled,0
Roti/Chapati,373,61,25.09,not spoiled,0
Roti/Chapati,373,56,25.13,not spoiled,0
Roti/Chapati,367,56,25.04,not spoiled,0
Roti/Chapati,369,58,25.31,not spoiled,0
Roti/Chapati,368,62,25.55,not spoiled,0
Roti/Chapati,371,54,25.34,not spoiled,0
Roti/Chapati,371,61,25.37,not spoiled,0
Roti/Chapati,374,63,25.25,not spoiled,0
Roti/Chapati,376,59,25.64,not spoiled,0
Roti/Chapati,377,59,25.46,not spoiled,0
Roti/Chapati,371,61,25.42,not spoiled,0
Roti/Chapati,372,59,25.56,not spoiled,0
Roti/Chapati,368,64,25.66,not spoiled,0
Roti/Chapati,371,57,25.65,not spoiled,0
Roti/Chapati,377,60,25.85,not spoiled,0
Roti/Chapati,379,61,25.77,not spoiled,0
Roti/Chapati,371,59,25.71,not spoiled,0
Roti/Chapati,373,51,25.85,not spoiled,0
Roti/Chapati,375,60,25.91,not spoiled,0
Roti/Chapati,376,63,25.68,not spoiled,0
Roti/Chapati,373,62,26.09,not spoiled,0
Roti/Chapati,377,61,25.91,not spoiled,0
Roti/Chapati,375,57,25.95,not spoiled,0
Roti/Chapati,377,61,26.15,not spoiled,0
Roti/Chapati,379,58,26.19,not spoiled,0
Roti/Chapati,377,61,26.01,not spoiled,0
Roti/Chapati,376,60,26.28,not spoiled,0
Roti/Chapati,378,57,26.11,not spoiled,0
Roti/Chapati,378,57,26.51,not spoiled,0
Roti/Chapati,378,61,26.15,not spoiled,0
Roti/Chapati,378,59,26.35,not spoiled,0
Roti/Chapati,384,57,26.24,not spoiled,0
Roti/Chapati,381,57,26.73,not spoiled,0
Roti/Chapati,379,59,26.25,not spoiled,0
Roti/Chapati,382,65,26.56,not spoiled,0
Roti/Chapati,380,58,26.41,not spoiled,0
Roti/Chapati,384,60,26.5,not spoiled,0
Roti/Chapati,382,60,26.67,not spoiled,0
Roti/Chapati,381,57,26.82,not spoiled,0
Roti/Chapati,383,55,26.92,not spoiled,0
Roti/Chapati,377,57,26.49,not spoiled,0
Roti/Chapati,379,61,26.8,not spoiled,0
Roti/Chapati,379,60,27.02,not spoiled,0
Roti/Chapati,384,62,26.59,not spoiled,0
Roti/Chapati,389,60,26.93,not spoiled,0
Roti/Chapati,390,60,26.92,not spoiled,0
Roti/Chapati,386,58,27.02,not spoiled,0
Roti/Chapati,386,63,26.88,not spoiled,0
Roti/Chapati,379,57,26.82,not spoiled,0
Roti/Chapati,383,57,26.79,not spoiled,0
Roti/Chapati,383,62,27.27,not spoiled,0
Roti/Chapati,384,56,27.33,not spoiled,0
Roti/Chapati,385,67,27.25,not spoiled,0
Roti/Chapati,385,60,27.16,not spoiled,0
Roti/Chapati,381,61,27.04,not spoiled,0
Roti/Chapati,389,58,27.41,not spoiled,0
Roti/Chapati,384,59,27.2,not spoiled,0
Roti/Chapati,388,59,27.3,not spoiled,0
Roti/Chapati,394,58,27.35,not spoiled,0
Roti/Chapati,385,62,27.45,not spoiled,0
Roti/Chapati,381,59,27.41,not spoiled,0
Roti/Chapati,388,63,27.57,not spoiled,0
Roti/Chapati,392,68,27.51,not spoiled,0
Roti/Chapati,395,59,27.75,not spoiled,0
Roti/Chapati,386,60,27.84,not spoiled,0
Roti/Chapati,391,61,27.74,not spoiled,0
Roti/Chapati,389,65,27.83,not spoiled,0
Roti/Chapati,390,60,28.12,not spoiled,0
Roti/Chapati,399,58,27.67,not spoiled,0
Roti/Chapati,387,56,27.7,not spoiled,0
Roti/Chapati,392,60,28.03,not spoiled,0
Roti/Chapati,393,59,28.26,not spoiled,0
Roti/Chapati,395,66,27.97,not spoiled,0
Roti/Chapati,393,65,28.31,not spoiled,0
Roti/Chapati,394,57,28.1,not spoiled,0
Roti/Chapati,392,58,28.02,not spoiled,0
Roti/Chapati,394,60,28.02,not spoiled,0
Roti/Chapati,393,64,28.3,not spoiled,0
Roti/Chapati,396,60,28.11,not spoiled,0
Roti/Chapati,393,58,28.3,not spoiled,0
Roti/Chapati,396,60,28.57,not spoiled,0
Roti/Chapati,395,58,28.32,not spoiled,0
Roti/Chapati,399,62,28.61,not spoiled,0
Roti/Chapati,395,58,28.27,not spoiled,0
Roti/Chapati,391,58,28.41,not spoiled,0
Roti/Chapati,400,63,28.32,not spoiled,0
Roti/Chapati,394,58,28.58,not spoiled,0
Roti/Chapati,395,56,28.73,not spoiled,0
Roti/Chapati,395,60,28.66,not spoiled,0
Roti/Chapati,402,59,28.87,not spoiled,0
Roti/Chapati,391,62,28.62,not spoiled,0
Roti/Chapati,407,61,28.8,not spoiled,0
Roti/Chapati,402,60,28.73,not spoiled,0
Roti/Chapati,399,60,28.9,not spoiled,0
Roti/Chapati,399,58,28.97,not spoiled,0
Roti/Chapati,400,60,29.02,not spoiled,0
Roti/Chapati,401,63,28.81,not spoiled,0
Roti/Chapati,402,57,28.88,not spoiled,0
Roti/Chapati,402,60,28.95,not spoiled,0
Roti/Chapati,401,63,29.06,not spoiled,0
Roti/Chapati,400,62,29.15,not spoiled,0
Roti/Chapati,401,64,29.28,not spoiled,0
Roti/Chapati,401,58,29.09,not spoiled,0
Roti/Chapati,405,55,29.01,not spoiled,0
Roti/Chapati,404,61,29.62,not spoiled,0
Roti/Chapati,394,61,29.16,not spoiled,0
Roti/Chapati,405,64,29.5,not spoiled,0
Roti/Chapati,404,64,29.42,not spoiled,0
Roti/Chapati,403,62,29.49,not spoiled,0
Roti/Chapati,403,62,29.49,not spoiled,0
Roti/Chapati,407,59,29.48,not spoiled,0
Roti/Chapati,407,56,29.64,not spoiled,0
Roti/Chapati,402,60,29.55,not spoiled,0
Roti/Chapati,406,63,29.83,not spoiled,0
Roti/Chapati,402,62,29.78,not spoiled,0
Roti/Chapati,401,63,29.83,not spoiled,0
Roti/Chapati,404,59,29.7,not spoiled,0
Roti/Chapati,409,59,29.78,not spoiled,0
Roti/Chapati,409,61,29.68,not spoiled,0
Roti/Chapati,408,58,29.84,not spoiled,0
Roti/Chapati,409,58,29.78,not spoiled,0
Roti/Chapati,409,61,30.17,not spoiled,0
Roti/Chapati,406,62,30.02,not spoiled,0
Roti/Chapati,409,59,30.08,not spoiled,0
Roti/Chapati,411,57,30.06,not spoiled,0
Roti/Chapati,411,58,30.17,not spoiled,0
Roti/Chapati,413,61,30.55,not spoiled,0
Roti/Chapati,411,61,30.17,not spoiled,0
Roti/Chapati,411,61,30.16,not spoiled,0
Roti/Chapati,413,62,30.38,not spoiled,0
Roti/Chapati,410,60,29.96,not spoiled,0
Roti/Chapati,408,61,30.39,not spoiled,0
Roti/Chapati,410,60,30.36,not spoiled,0
Roti/Chapati,409,63,30.31,not spoiled,0
Roti/Chapati,409,64,30.58,not spoiled,0
Roti/Chapati,411,56,30.55,not spoiled,0
Roti/Chapati,410,59,30.31,not spoiled,0
Roti/Chapati,412,60,30.52,not spoiled,0
Roti/Chapati,407,59,30.23,not spoiled,0
Roti/Chapati,414,65,30.75,not spoiled,0
Roti/Chapati,413,61,30.78,not spoiled,0
Roti/Chapati,411,58,30.66,not spoiled,0
Roti/Chapati,416,62,30.9,not spoiled,0
Roti/Chapati,417,61,30.67,not spoiled,0
Roti/Chapati,410,61,30.76,not spoiled,0
Roti/Chapati,413,65,31.01,not spoiled,0
Roti/Chapati,413,61,30.88,not spoiled,0
Roti/Chapati,413,59,31.01,not spoiled,0
Roti/Chapati,418,54,30.98,not spoiled,0
Roti/Chapati,416,60,31.04,not spoiled,0
Roti/Chapati,416,64,31.09,not spoiled,0
Roti/Chapati,411,60,31.08,not spoiled,0
Roti/Chapati,419,53,31.27,not spoiled,0
Roti/Chapati,414,59,31.17,not spoiled,0
Roti/Chapati,418,63,31.31,not spoiled,0
Roti/Chapati,419,62,31.24,not spoiled,0
Roti/Chapati,422,57,31.15,not spoiled,0
Roti/Chapati,415,58,31.56,not spoiled,0
Roti/Chapati,410,59,31.54,not spoiled,0
